year,quarter,county,sales,month,date
2008,1,Adams,231609000,01,2008-01-01
2008,1,Arapahoe,550378000,01,2008-01-01
2008,1,Boulder/Broomfield,176771000,01,2008-01-01
2008,1,Denver,200103000,01,2008-01-01
2008,1,Douglas,93259000,01,2008-01-01
2008,1,El Paso,325737000,01,2008-01-01
2008,1,Fremont,9911000,01,2008-01-01
2008,1,Garfield,55701000,01,2008-01-01
2008,1,Jefferson,277611000,01,2008-01-01
2008,1,La Plata,19558000,01,2008-01-01
2008,1,Larimer,141852000,01,2008-01-01
2008,1,Mesa,98293000,01,2008-01-01
2008,1,Pueblo,68268000,01,2008-01-01
2008,1,Weld,158501000,01,2008-01-01
2008,2,Adams,241925000,04,2008-04-01
2008,2,Arapahoe,585224000,04,2008-04-01
2008,2,Boulder/Broomfield,181959000,04,2008-04-01
2008,2,Denver,195965000,04,2008-04-01
2008,2,Douglas,88128000,04,2008-04-01
2008,2,El Paso,323709000,04,2008-04-01
2008,2,Fremont,8924000,04,2008-04-01
2008,2,Garfield,55206000,04,2008-04-01
2008,2,Jefferson,257538000,04,2008-04-01
2008,2,La Plata,28064000,04,2008-04-01
2008,2,Larimer,145702000,04,2008-04-01
2008,2,Mesa,93063000,04,2008-04-01
2008,2,Pueblo,65405000,04,2008-04-01
2008,2,Weld,157124000,04,2008-04-01
2008,3,Adams,204716000,07,2008-07-01
2008,3,Arapahoe,538296000,07,2008-07-01
2008,3,Boulder/Broomfield,178686000,07,2008-07-01
2008,3,Denver,189433000,07,2008-07-01
2008,3,Douglas,89219000,07,2008-07-01
2008,3,El Paso,299526000,07,2008-07-01
2008,3,Fremont,8305000,07,2008-07-01
2008,3,Garfield,53712000,07,2008-07-01
2008,3,Jefferson,264152000,07,2008-07-01
2008,3,La Plata,24572000,07,2008-07-01
2008,3,Larimer,136008000,07,2008-07-01
2008,3,Mesa,93417000,07,2008-07-01
2008,3,Pueblo,70123000,07,2008-07-01
2008,3,Weld,150376000,07,2008-07-01
2008,4,Adams,162708000,10,2008-10-01
2008,4,Arapahoe,419014000,10,2008-10-01
2008,4,Boulder/Broomfield,139785000,10,2008-10-01
2008,4,Denver,167851000,10,2008-10-01
2008,4,Douglas,79520000,10,2008-10-01
2008,4,El Paso,253344000,10,2008-10-01
2008,4,Fremont,7421000,10,2008-10-01
2008,4,Garfield,42038000,10,2008-10-01
2008,4,Jefferson,202184000,10,2008-10-01
2008,4,La Plata,18102000,10,2008-10-01
2008,4,Larimer,105258000,10,2008-10-01
2008,4,Mesa,67162000,10,2008-10-01
